City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Maralal,KE,2022-04-05 17:27:38,1.0968,36.698,67.86,53,49,15.82
165,Puerto Quijarro,BO,2022-04-05 17:27:39,-17.7833,-57.7667,99.41,27,6,5.64
166,Bluff,NZ,2022-04-05 17:19:07,-46.6,168.3333,53.31,72,100,28.72
167,Kosh-Agach,RU,2022-04-05 17:27:39,50.0,88.6667,29.14,71,37,3.83
168,Half Moon Bay,US,2022-04-05 17:26:59,37.4636,-122.4286,62.74,59,0,5.75
169,Bogovarovo,RU,2022-04-05 17:27:40,58.9785,47.0246,27.14,93,73,5.23
170,Verkhnyaya Inta,RU,2022-04-05 17:27:40,65.9811,60.3094,12.36,95,100,7.09
171,Bambous Virieux,MU,2022-04-05 17:19:08,-20.3428,57.7575,79.05,89,75,6.91
172,Zmeinogorsk,RU,2022-04-05 17:27:41,51.1567,82.195,38.68,84,42,7.78
173,Hongjiang,CN,2022-04-05 17:27:41,27.11,109.9956,60.04,82,95,1.41
174,Maningrida,AU,2022-04-05 17:27:41,-12.0667,134.2667,78.1,88,61,5.48
175,Tuchola,PL,2022-04-05 17:27:42,53.5879,17.8591,41.02,76,99,9.06
176,Zeya,RU,2022-04-05 17:27:42,53.75,127.2667,20.98,51,100,11.14
177,Katsuura,JP,2022-04-05 17:27:43,35.1333,140.3,55.47,78,100,2.13
178,San Juan De Los Morros,VE,2022-04-05 17:23:39,9.9115,-67.3538,92.07,36,92,6.38
179,Ancud,CL,2022-04-05 17:23:53,-41.8697,-73.8203,57.22,92,100,13.76
180,Pozo Colorado,PY,2022-04-05 17:27:43,-23.4923,-58.7972,98.38,32,9,6.42
181,Fairbanks,US,2022-04-05 17:25:14,64.8378,-147.7164,14.31,79,100,0.0
182,Lavrentiya,RU,2022-04-05 17:20:16,65.5833,-171.0,-9.81,93,67,8.86
183,Naze,JP,2022-04-05 17:28:44,28.3667,129.4833,50.92,63,16,1.12
184,Palu,ID,2022-04-05 17:28:44,-0.8917,119.8707,75.06,90,50,2.44
185,Mapimi,MX,2022-04-05 17:28:45,25.8167,-103.85,74.66,13,72,6.73
186,Raudeberg,NO,2022-04-05 17:28:45,61.9875,5.1352,38.07,52,39,18.79
187,Amurzet,RU,2022-04-05 17:28:45,47.6967,131.0981,28.53,51,2,17.52
188,La Libertad,EC,2022-04-05 17:28:46,-2.2333,-80.9,82.06,69,0,8.05
189,Vieques,PR,2022-04-05 17:28:46,18.425,-65.8329,88.66,51,20,23.02
190,Kautokeino,NO,2022-04-05 17:28:46,69.0125,23.0412,24.03,94,100,27.4
191,Makakilo City,US,2022-04-05 17:25:06,21.3469,-158.0858,73.18,76,75,10.36
192,Sitka,US,2022-04-05 17:20:17,57.0531,-135.33,39.09,75,75,5.75
193,Kuytun,RU,2022-04-05 17:28:47,54.3419,101.5036,30.67,99,100,2.84
194,Starodub,RU,2022-04-05 17:28:47,52.5844,32.7633,36.46,97,100,15.14
195,Dinar,TR,2022-04-05 17:28:48,38.065,30.1656,62.56,54,95,11.27
196,Smidovich,RU,2022-04-05 17:28:48,48.6,133.8167,26.28,73,52,21.81
197,Suicheng,CN,2022-04-05 17:28:48,33.8963,117.9331,56.59,78,0,5.93
198,Ushumun,RU,2022-04-05 17:28:49,52.7833,126.5333,20.77,47,91,18.32
199,Lumphat,KH,2022-04-05 17:28:49,13.4878,106.9816,75.34,72,64,7.81
200,Dingle,PH,2022-04-05 17:28:49,10.9995,122.6711,75.45,92,100,6.76
201,Sao Felix Do Xingu,BR,2022-04-05 17:28:50,-6.6447,-51.995,84.87,65,100,1.68
