City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Ahuimanu,US,73.36,few clouds,21.4447,-157.8378,Paradise Bay Resort
296,Changping,CN,65.84,overcast clouds,40.2186,116.2197,Huachang Hotel
297,Nouadhibou,MR,65.16,clear sky,20.931,-17.0347,El Medina
298,Dicabisagan,PH,76.32,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
299,Hami,CN,68.27,scattered clouds,42.8,93.45,Laoyutang Resort
301,Victoria,HK,75.18,clear sky,22.2855,114.1577,Mini Hotel Central
304,Durazno,UY,69.75,broken clouds,-33.4131,-56.5006,Hotel Santa Cristina
307,Porec,HR,63.25,overcast clouds,45.2258,13.5939,BO hotel Palazzo
308,Asau,RO,69.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
309,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
321,Maldonado,UY,74.59,clear sky,-34.6667,-54.9167,La Cimarrona
324,Honiara,SB,77.61,broken clouds,-9.4333,159.95,Heritage Park Hotel
325,General Pico,AR,76.77,clear sky,-35.6566,-63.7568,Euskadi Hotel
327,Mangan,IN,69.73,overcast clouds,27.5167,88.5333,Hotel Mout View
330,Maxixe,MZ,76.86,overcast clouds,-23.8597,35.3472,Oceano
333,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,Antay Casino Hotel
335,Shenjiamen,CN,59.4,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
337,Ambatondrazaka,MG,71.06,scattered clouds,-17.8333,48.4167,MANAMBINA Hotel
338,La Solana,ES,61.0,overcast clouds,38.9442,-3.2381,Apartamento Prado
339,Korla,CN,74.44,broken clouds,41.7597,86.1469,Gulisitan Hotel
344,Suluq,LY,75.74,broken clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
345,Misratah,LY,70.39,clear sky,32.3754,15.0925,Almasa Hotel
346,Fort-Shevchenko,KZ,51.58,broken clouds,44.5086,50.263,Oasis hotel Bautino
348,Miguel Auza,MX,57.49,broken clouds,24.2933,-103.4503,Hotel Del Centro
357,Tateyama,JP,62.1,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
365,Hirado,JP,60.64,clear sky,33.3597,129.5531,Samson Hotel
366,Dondo,MZ,74.68,moderate rain,-19.6094,34.7431,Arco Iris
370,Miri,MY,77.59,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
377,Xining,CN,57.36,broken clouds,36.6167,101.7667,Super Leisure Hotel
379,Yichang,CN,75.09,overcast clouds,30.7144,111.2847,Gezhouba Hotel
380,Nassau,US,55.33,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
383,Coquimbo,CL,56.93,light intensity drizzle,-29.9533,-71.3436,Hotel San Juan
386,Karakol,KG,51.04,overcast clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
388,Azad Shahr,IR,58.77,scattered clouds,34.7909,48.5707,Hotel Amozesh Gah Ranandegi
389,Geraldton,AU,63.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
390,Loikaw,MM,75.16,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
391,Nantucket,US,55.51,overcast clouds,41.2835,-70.0995,Jared Coffin House
392,Broken Hill,AU,68.23,clear sky,-31.95,141.4333,Royal Exchange Hotel
394,Plettenberg Bay,ZA,66.9,few clouds,-34.0527,23.3716,Thanda Vista B&B
