City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Boyolangu,ID,-8.1181,111.8935,76.33,88,94,2.33,overcast clouds
137,Lebu,CL,-37.6167,-73.65,58.08,74,35,12.82,scattered clouds
138,Yerazgavors,AM,40.7,43.75,52.57,43,40,4.61,scattered clouds
139,Sande,DE,53.5049,8.0142,48.02,49,100,19.66,overcast clouds
140,Ahipara,NZ,-35.1667,173.1667,59.4,78,32,5.66,scattered clouds
141,Lufilufi,WS,-13.8745,-171.5986,74.98,76,8,12.5,light rain
142,Beyneu,KZ,45.3167,55.2,67.77,41,43,17.16,scattered clouds
143,Lagoa,PT,39.05,-27.9833,56.08,71,100,34.83,overcast clouds
144,Oranjemund,NA,-28.55,16.4333,72.59,46,0,17.85,clear sky
145,Hilo,US,19.7297,-155.09,69.53,83,100,5.75,overcast clouds
146,Alofi,NU,-19.0595,-169.9187,81.05,76,47,6.89,light rain
147,Charcas,MX,23.1333,-101.1167,52.23,56,22,4.85,few clouds
148,Kota Kinabalu,MY,5.9749,116.0724,75.18,94,40,10.36,moderate rain
149,Tasiilaq,GL,65.6145,-37.6368,32.16,86,100,1.81,overcast clouds
150,Atuona,PF,-9.8,-139.0333,78.84,79,20,21.27,light rain
151,Renfrew,GB,55.872,-4.3925,51.57,50,99,15.01,overcast clouds
152,Paita,PE,-5.0892,-81.1144,72.07,76,100,7.85,overcast clouds
153,Saskylakh,RU,71.9167,114.0833,-9.96,97,34,2.8,scattered clouds
154,Cockburn Town,TC,21.4612,-71.1419,78.6,80,55,20.96,broken clouds
155,Svetlaya,RU,46.5389,138.3297,32.58,92,8,3.71,clear sky
156,Arcachon,FR,44.5875,-1.0519,61.41,44,0,10.36,clear sky
157,Nanortalik,GL,60.1432,-45.2371,32.05,69,9,1.41,clear sky
158,Pemangkat,ID,1.1667,108.9667,79.16,81,100,1.19,overcast clouds
159,Vila Velha,BR,-20.3297,-40.2925,89.55,64,20,10.36,few clouds
160,Esperance,AU,-33.8667,121.9,60.64,56,37,6.42,scattered clouds
161,Fairbanks,US,64.8378,-147.7164,-2.4,70,0,0.0,clear sky
162,Bucerias,MX,20.75,-105.3333,71.98,88,0,0.0,clear sky
163,Caucaguita,VE,10.3578,-66.8025,76.57,68,78,4.83,broken clouds
164,Mabaruma,GY,8.2,-59.7833,81.59,78,49,6.8,scattered clouds
165,Guerrero Negro,MX,27.9769,-114.0611,65.16,57,12,8.86,few clouds
166,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,88,40,4.61,light rain
167,Kamaishi,JP,39.2667,141.8833,50.25,62,2,8.77,clear sky
168,Kholbon,RU,51.8833,116.25,38.66,86,100,11.36,moderate rain
169,Tucupita,VE,9.0622,-62.051,87.55,52,94,6.87,overcast clouds
170,Komsomolskiy,UZ,40.4272,71.7189,77.72,33,97,4.61,overcast clouds
171,Constitucion,CL,-35.3333,-72.4167,58.69,70,100,1.07,overcast clouds
172,Burley,US,42.5357,-113.7928,32.2,58,0,28.01,clear sky
173,Kyshtovka,RU,56.555,76.6271,23.65,90,31,3.67,scattered clouds
174,Epe,NG,6.5841,3.9834,88.2,62,100,9.22,overcast clouds
175,Porto-Vecchio,FR,41.591,9.2795,62.13,51,75,25.32,broken clouds
176,Medeiros Neto,BR,-17.3739,-40.2206,84.81,56,62,1.19,broken clouds
177,Shieli,KZ,44.1667,66.75,71.62,43,5,10.69,clear sky
178,Torbay,CA,47.6666,-52.7314,33.58,84,100,7.0,overcast clouds
179,Male,MV,4.1748,73.5089,84.72,71,100,10.63,overcast clouds
180,Orocue,CO,4.7912,-71.3354,86.34,59,83,3.89,broken clouds
181,Brigantine,US,39.4101,-74.3646,53.2,86,75,8.05,broken clouds
182,New Norfolk,AU,-42.7826,147.0587,63.9,61,24,2.91,few clouds
183,Finschhafen,PG,-6.6024,147.8681,76.87,92,100,4.74,overcast clouds
184,Muzhi,RU,65.3667,64.6667,22.41,96,100,8.25,overcast clouds
185,Acapulco,MX,16.8634,-99.8901,76.82,78,0,0.0,clear sky
186,Severo-Kurilsk,RU,50.6789,156.125,25.52,77,14,5.75,few clouds
187,Pauini,BR,-7.7136,-66.9764,84.07,70,100,2.68,moderate rain
188,Salalah,OM,17.0151,54.0924,84.29,74,0,9.22,clear sky
189,Hovd,MN,48.0056,91.6419,45.1,19,0,17.11,clear sky
190,Aguimes,ES,27.9054,-15.4461,65.86,60,20,15.01,few clouds
191,Pevek,RU,69.7008,170.3133,-14.8,99,98,7.23,overcast clouds
192,Strezhevoy,RU,60.7333,77.5889,11.05,91,72,4.99,broken clouds
193,Solnechnyy,RU,50.7214,136.6319,20.61,96,65,3.69,light snow
194,Bodden Town,KY,19.2833,-81.25,84.0,63,40,11.01,scattered clouds
195,Poum,NC,-20.2333,164.0167,79.75,82,96,12.3,overcast clouds
196,Witu,KE,-2.3889,40.4382,87.98,56,3,13.78,clear sky
197,Portland,US,45.5234,-122.6762,42.62,88,60,1.99,broken clouds
198,Kaitangata,NZ,-46.2817,169.8464,51.46,83,26,9.6,scattered clouds
199,San Cristobal,VE,7.7669,-72.225,75.38,40,96,5.48,overcast clouds
200,Yumen,CN,40.2833,97.2,64.74,11,86,10.54,overcast clouds
